calculator-service-1  | 2024-12-10T10:08:07.620991889Z  * Serving Flask app 'app' (lazy loading)
calculator-service-1  | 2024-12-10T10:08:07.621178262Z  * Environment: production
calculator-service-1  | 2024-12-10T10:08:07.621181869Z    WARNING: This is a development server. Do not use it in a production deployment.
calculator-service-1  | 2024-12-10T10:08:07.621183101Z    Use a production WSGI server instead.
calculator-service-1  | 2024-12-10T10:08:07.621184126Z  * Debug mode: off
calculator-service-1  | 2024-12-10T10:08:07.625945704Z  * Running on all addresses.
calculator-service-1  | 2024-12-10T10:08:07.625960365Z    WARNING: This is a development server. Do not use it in a production deployment.
calculator-service-1  | 2024-12-10T10:08:07.635867452Z  * Running on http://172.19.0.3:5002/ (Press CTRL+C to quit)
calculator-service-1  | 2024-12-10T10:08:18.662074469Z 172.19.0.4 - - [10/Dec/2024 10:08:18] "POST /calculate HTTP/1.1" 200 -
calculator-service-1  | 2024-12-10T10:08:36.331368582Z 127.0.0.1 - - [10/Dec/2024 10:08:36] "GET /health HTTP/1.1" 200 -
calculator-service-1  | 2024-12-10T10:08:37.139703081Z 172.19.0.5 - - [10/Dec/2024 10:08:37] "GET /health HTTP/1.1" 200 -
calculator-service-1  | 2024-12-10T10:09:06.509477396Z 127.0.0.1 - - [10/Dec/2024 10:09:06] "GET /health HTTP/1.1" 200 -
calculator-service-1  | 2024-12-10T10:09:07.456012271Z 172.19.0.5 - - [10/Dec/2024 10:09:07] "GET /health HTTP/1.1" 200 -
calculator-service-1  | 2024-12-10T10:09:12.276745904Z 172.19.0.4 - - [10/Dec/2024 10:09:12] "POST /calculate HTTP/1.1" 200 -
calculator-service-1  | 2024-12-10T10:09:36.600498293Z 127.0.0.1 - - [10/Dec/2024 10:09:36] "GET /health HTTP/1.1" 200 -
calculator-service-1  | 2024-12-10T10:09:37.860743809Z 172.19.0.5 - - [10/Dec/2024 10:09:37] "GET /health HTTP/1.1" 200 -
calculator-service-1  | 2024-12-10T10:10:06.696449353Z 127.0.0.1 - - [10/Dec/2024 10:10:06] "GET /health HTTP/1.1" 200 -
calculator-service-1  | 2024-12-10T10:10:07.964690050Z 172.19.0.5 - - [10/Dec/2024 10:10:07] "GET /health HTTP/1.1" 200 -
calculator-service-1  | 2024-12-10T10:10:36.897347192Z 127.0.0.1 - - [10/Dec/2024 10:10:36] "GET /health HTTP/1.1" 200 -
calculator-service-1  | 2024-12-10T10:10:38.106067339Z 172.19.0.5 - - [10/Dec/2024 10:10:38] "GET /health HTTP/1.1" 200 -
calculator-service-1  | 2024-12-10T10:11:07.045236155Z 127.0.0.1 - - [10/Dec/2024 10:11:07] "GET /health HTTP/1.1" 200 -
calculator-service-1  | 2024-12-10T10:11:08.293905104Z 172.19.0.5 - - [10/Dec/2024 10:11:08] "GET /health HTTP/1.1" 200 -
calculator-service-1  | 2024-12-10T10:11:37.330630248Z 127.0.0.1 - - [10/Dec/2024 10:11:37] "GET /health HTTP/1.1" 200 -
calculator-service-1  | 2024-12-10T10:11:38.534512662Z 172.19.0.5 - - [10/Dec/2024 10:11:38] "GET /health HTTP/1.1" 200 -
calculator-service-1  | 2024-12-10T10:11:40.608437850Z 172.19.0.4 - - [10/Dec/2024 10:11:40] "POST /calculate HTTP/1.1" 200 -
calculator-service-1  | 2024-12-10T10:11:45.850098457Z 172.19.0.4 - - [10/Dec/2024 10:11:45] "POST /calculate HTTP/1.1" 200 -
calculator-service-1  | 2024-12-10T10:12:07.496290898Z 127.0.0.1 - - [10/Dec/2024 10:12:07] "GET /health HTTP/1.1" 200 -
calculator-service-1  | 2024-12-10T10:12:08.703198443Z 172.19.0.5 - - [10/Dec/2024 10:12:08] "GET /health HTTP/1.1" 200 -
calculator-service-1  | 2024-12-10T10:12:37.595482529Z 127.0.0.1 - - [10/Dec/2024 10:12:37] "GET /health HTTP/1.1" 200 -
calculator-service-1  | 2024-12-10T10:12:38.817147584Z 172.19.0.5 - - [10/Dec/2024 10:12:38] "GET /health HTTP/1.1" 200 -
calculator-service-1  | 2024-12-10T10:13:07.722191682Z 127.0.0.1 - - [10/Dec/2024 10:13:07] "GET /health HTTP/1.1" 200 -
calculator-service-1  | 2024-12-10T10:13:09.006370846Z 172.19.0.5 - - [10/Dec/2024 10:13:09] "GET /health HTTP/1.1" 200 -
calculator-service-1  | 2024-12-10T10:13:37.857133293Z 127.0.0.1 - - [10/Dec/2024 10:13:37] "GET /health HTTP/1.1" 200 -
calculator-service-1  | 2024-12-10T10:13:39.093201389Z 172.19.0.5 - - [10/Dec/2024 10:13:39] "GET /health HTTP/1.1" 200 -
calculator-service-1  | 2024-12-10T10:14:08.010139086Z 127.0.0.1 - - [10/Dec/2024 10:14:08] "GET /health HTTP/1.1" 200 -
calculator-service-1  | 2024-12-10T10:14:09.233047755Z 172.19.0.5 - - [10/Dec/2024 10:14:09] "GET /health HTTP/1.1" 200 -
calculator-service-1  | 2024-12-10T10:14:38.150877333Z 127.0.0.1 - - [10/Dec/2024 10:14:38] "GET /health HTTP/1.1" 200 -
calculator-service-1  | 2024-12-10T10:14:39.336309159Z 172.19.0.5 - - [10/Dec/2024 10:14:39] "GET /health HTTP/1.1" 200 -
calculator-service-1  | 2024-12-10T10:15:08.245411938Z 127.0.0.1 - - [10/Dec/2024 10:15:08] "GET /health HTTP/1.1" 200 -
calculator-service-1  | 2024-12-10T10:15:09.434528179Z 172.19.0.5 - - [10/Dec/2024 10:15:09] "GET /health HTTP/1.1" 200 -
calculator-service-1  | 2024-12-10T10:15:38.537185886Z 127.0.0.1 - - [10/Dec/2024 10:15:38] "GET /health HTTP/1.1" 200 -
calculator-service-1  | 2024-12-10T10:15:39.520508181Z 172.19.0.5 - - [10/Dec/2024 10:15:39] "GET /health HTTP/1.1" 200 -
calculator-service-1  | 2024-12-10T10:16:08.628241117Z 127.0.0.1 - - [10/Dec/2024 10:16:08] "GET /health HTTP/1.1" 200 -
calculator-service-1  | 2024-12-10T10:16:09.629336317Z 172.19.0.5 - - [10/Dec/2024 10:16:09] "GET /health HTTP/1.1" 200 -
calculator-service-1  | 2024-12-10T10:16:38.797002583Z 127.0.0.1 - - [10/Dec/2024 10:16:38] "GET /health HTTP/1.1" 200 -
calculator-service-1  | 2024-12-10T10:16:39.869629265Z 172.19.0.5 - - [10/Dec/2024 10:16:39] "GET /health HTTP/1.1" 200 -
calculator-service-1  | 2024-12-10T10:17:08.902047250Z 127.0.0.1 - - [10/Dec/2024 10:17:08] "GET /health HTTP/1.1" 200 -
calculator-service-1  | 2024-12-10T10:17:09.983872719Z 172.19.0.5 - - [10/Dec/2024 10:17:09] "GET /health HTTP/1.1" 200 -
calculator-service-1  | 2024-12-10T10:17:39.229603415Z 127.0.0.1 - - [10/Dec/2024 10:17:39] "GET /health HTTP/1.1" 200 -
calculator-service-1  | 2024-12-10T10:17:40.073253831Z 172.19.0.5 - - [10/Dec/2024 10:17:40] "GET /health HTTP/1.1" 200 -
calculator-service-1  | 2024-12-10T10:18:09.467534418Z 127.0.0.1 - - [10/Dec/2024 10:18:09] "GET /health HTTP/1.1" 200 -
calculator-service-1  | 2024-12-10T10:18:10.286259542Z 172.19.0.5 - - [10/Dec/2024 10:18:10] "GET /health HTTP/1.1" 200 -
calculator-service-1  | 2024-12-10T10:18:39.593018463Z 127.0.0.1 - - [10/Dec/2024 10:18:39] "GET /health HTTP/1.1" 200 -
calculator-service-1  | 2024-12-10T10:18:40.404474735Z 172.19.0.5 - - [10/Dec/2024 10:18:40] "GET /health HTTP/1.1" 200 -
calculator-service-1  | 2024-12-10T10:19:09.682343254Z 127.0.0.1 - - [10/Dec/2024 10:19:09] "GET /health HTTP/1.1" 200 -
calculator-service-1  | 2024-12-10T10:19:10.516075199Z 172.19.0.5 - - [10/Dec/2024 10:19:10] "GET /health HTTP/1.1" 200 -
calculator-service-1  | 2024-12-10T10:19:39.808490066Z 127.0.0.1 - - [10/Dec/2024 10:19:39] "GET /health HTTP/1.1" 200 -
calculator-service-1  | 2024-12-10T10:19:40.695001656Z 172.19.0.5 - - [10/Dec/2024 10:19:40] "GET /health HTTP/1.1" 200 -
calculator-service-1  | 2024-12-10T10:20:09.931257750Z 127.0.0.1 - - [10/Dec/2024 10:20:09] "GET /health HTTP/1.1" 200 -
calculator-service-1  | 2024-12-10T10:20:10.812450342Z 172.19.0.5 - - [10/Dec/2024 10:20:10] "GET /health HTTP/1.1" 200 -
calculator-service-1  | 2024-12-10T10:20:40.039290152Z 127.0.0.1 - - [10/Dec/2024 10:20:40] "GET /health HTTP/1.1" 200 -
calculator-service-1  | 2024-12-10T10:20:40.924654279Z 172.19.0.5 - - [10/Dec/2024 10:20:40] "GET /health HTTP/1.1" 200 -
calculator-service-1  | 2024-12-10T10:21:10.174842055Z 127.0.0.1 - - [10/Dec/2024 10:21:10] "GET /health HTTP/1.1" 200 -
calculator-service-1  | 2024-12-10T10:21:11.010322841Z 172.19.0.5 - - [10/Dec/2024 10:21:11] "GET /health HTTP/1.1" 200 -
calculator-service-1  | 2024-12-10T10:21:40.298503218Z 127.0.0.1 - - [10/Dec/2024 10:21:40] "GET /health HTTP/1.1" 200 -
calculator-service-1  | 2024-12-10T10:21:41.126061451Z 172.19.0.5 - - [10/Dec/2024 10:21:41] "GET /health HTTP/1.1" 200 -
calculator-service-1  | 2024-12-10T10:22:10.447916644Z 127.0.0.1 - - [10/Dec/2024 10:22:10] "GET /health HTTP/1.1" 200 -
calculator-service-1  | 2024-12-10T10:22:11.242738453Z 172.19.0.5 - - [10/Dec/2024 10:22:11] "GET /health HTTP/1.1" 200 -
calculator-service-1  | 2024-12-10T10:22:40.537331094Z 127.0.0.1 - - [10/Dec/2024 10:22:40] "GET /health HTTP/1.1" 200 -
calculator-service-1  | 2024-12-10T10:22:41.376711412Z 172.19.0.5 - - [10/Dec/2024 10:22:41] "GET /health HTTP/1.1" 200 -
calculator-service-1  | 2024-12-10T10:23:10.639168413Z 127.0.0.1 - - [10/Dec/2024 10:23:10] "GET /health HTTP/1.1" 200 -
calculator-service-1  | 2024-12-10T10:23:11.498119951Z 172.19.0.5 - - [10/Dec/2024 10:23:11] "GET /health HTTP/1.1" 200 -
calculator-service-1  | 2024-12-10T10:23:40.763474293Z 127.0.0.1 - - [10/Dec/2024 10:23:40] "GET /health HTTP/1.1" 200 -
calculator-service-1  | 2024-12-10T10:23:41.593564268Z 172.19.0.5 - - [10/Dec/2024 10:23:41] "GET /health HTTP/1.1" 200 -
calculator-service-1  | 2024-12-10T10:24:10.877597311Z 127.0.0.1 - - [10/Dec/2024 10:24:10] "GET /health HTTP/1.1" 200 -
calculator-service-1  | 2024-12-10T10:24:11.711515012Z 172.19.0.5 - - [10/Dec/2024 10:24:11] "GET /health HTTP/1.1" 200 -
calculator-service-1  | 2024-12-10T10:24:41.163826726Z 127.0.0.1 - - [10/Dec/2024 10:24:41] "GET /health HTTP/1.1" 200 -
calculator-service-1  | 2024-12-10T10:24:41.819302303Z 172.19.0.5 - - [10/Dec/2024 10:24:41] "GET /health HTTP/1.1" 200 -
calculator-service-1  | 2024-12-10T10:25:11.268467402Z 127.0.0.1 - - [10/Dec/2024 10:25:11] "GET /health HTTP/1.1" 200 -
calculator-service-1  | 2024-12-10T10:25:11.909627908Z 172.19.0.5 - - [10/Dec/2024 10:25:11] "GET /health HTTP/1.1" 200 -
calculator-service-1  | 2024-12-10T10:25:41.383775304Z 127.0.0.1 - - [10/Dec/2024 10:25:41] "GET /health HTTP/1.1" 200 -
calculator-service-1  | 2024-12-10T10:25:42.023058484Z 172.19.0.5 - - [10/Dec/2024 10:25:42] "GET /health HTTP/1.1" 200 -
calculator-service-1  | 2024-12-10T10:26:11.495214909Z 127.0.0.1 - - [10/Dec/2024 10:26:11] "GET /health HTTP/1.1" 200 -
calculator-service-1  | 2024-12-10T10:26:12.130768432Z 172.19.0.5 - - [10/Dec/2024 10:26:12] "GET /health HTTP/1.1" 200 -
calculator-service-1  | 2024-12-10T10:26:41.587621691Z 127.0.0.1 - - [10/Dec/2024 10:26:41] "GET /health HTTP/1.1" 200 -
calculator-service-1  | 2024-12-10T10:26:42.272176572Z 172.19.0.5 - - [10/Dec/2024 10:26:42] "GET /health HTTP/1.1" 200 -
calculator-service-1  | 2024-12-10T10:27:11.705085300Z 127.0.0.1 - - [10/Dec/2024 10:27:11] "GET /health HTTP/1.1" 200 -
calculator-service-1  | 2024-12-10T10:27:12.376440251Z 172.19.0.5 - - [10/Dec/2024 10:27:12] "GET /health HTTP/1.1" 200 -
calculator-service-1  | 2024-12-10T10:27:41.851304051Z 127.0.0.1 - - [10/Dec/2024 10:27:41] "GET /health HTTP/1.1" 200 -
calculator-service-1  | 2024-12-10T10:27:42.471062491Z 172.19.0.5 - - [10/Dec/2024 10:27:42] "GET /health HTTP/1.1" 200 -
calculator-service-1  | 2024-12-10T10:28:11.956689799Z 127.0.0.1 - - [10/Dec/2024 10:28:11] "GET /health HTTP/1.1" 200 -
calculator-service-1  | 2024-12-10T10:28:12.586446374Z 172.19.0.5 - - [10/Dec/2024 10:28:12] "GET /health HTTP/1.1" 200 -
calculator-service-1  | 2024-12-10T10:28:42.062238483Z 127.0.0.1 - - [10/Dec/2024 10:28:42] "GET /health HTTP/1.1" 200 -
calculator-service-1  | 2024-12-10T10:28:42.684751365Z 172.19.0.5 - - [10/Dec/2024 10:28:42] "GET /health HTTP/1.1" 200 -
calculator-service-1  | 2024-12-10T10:29:12.169250183Z 127.0.0.1 - - [10/Dec/2024 10:29:12] "GET /health HTTP/1.1" 200 -
calculator-service-1  | 2024-12-10T10:29:12.803194428Z 172.19.0.5 - - [10/Dec/2024 10:29:12] "GET /health HTTP/1.1" 200 -
calculator-service-1  | 2024-12-10T10:29:42.299510422Z 127.0.0.1 - - [10/Dec/2024 10:29:42] "GET /health HTTP/1.1" 200 -
calculator-service-1  | 2024-12-10T10:29:42.906189791Z 172.19.0.5 - - [10/Dec/2024 10:29:42] "GET /health HTTP/1.1" 200 -
calculator-service-1  | 2024-12-10T10:30:12.562999196Z 127.0.0.1 - - [10/Dec/2024 10:30:12] "GET /health HTTP/1.1" 200 -
calculator-service-1  | 2024-12-10T10:30:13.032283293Z 172.19.0.5 - - [10/Dec/2024 10:30:13] "GET /health HTTP/1.1" 200 -
calculator-service-1  | 2024-12-10T10:30:42.709350503Z 127.0.0.1 - - [10/Dec/2024 10:30:42] "GET /health HTTP/1.1" 200 -
calculator-service-1  | 2024-12-10T10:30:43.142346514Z 172.19.0.5 - - [10/Dec/2024 10:30:43] "GET /health HTTP/1.1" 200 -
calculator-service-1  | 2024-12-10T10:31:12.917298939Z 127.0.0.1 - - [10/Dec/2024 10:31:12] "GET /health HTTP/1.1" 200 -
calculator-service-1  | 2024-12-10T10:31:13.326696282Z 172.19.0.5 - - [10/Dec/2024 10:31:13] "GET /health HTTP/1.1" 200 -
api-gateway-1         | 2024-12-10T10:08:07.512629162Z  * Serving Flask app 'app' (lazy loading)
api-gateway-1         | 2024-12-10T10:08:07.512717257Z  * Environment: production
api-gateway-1         | 2024-12-10T10:08:07.512720272Z    WARNING: This is a development server. Do not use it in a production deployment.
api-gateway-1         | 2024-12-10T10:08:07.512721413Z    Use a production WSGI server instead.
api-gateway-1         | 2024-12-10T10:08:07.512722346Z  * Debug mode: off
api-gateway-1         | 2024-12-10T10:08:07.512800116Z WARNING:werkzeug: * Running on all addresses.
api-gateway-1         | 2024-12-10T10:08:07.512806235Z    WARNING: This is a development server. Do not use it in a production deployment.
api-gateway-1         | 2024-12-10T10:08:07.512807333Z INFO:werkzeug: * Running on http://172.19.0.5:5000/ (Press CTRL+C to quit)
api-gateway-1         | 2024-12-10T10:08:37.147867388Z INFO:werkzeug:127.0.0.1 - - [10/Dec/2024 10:08:37] "GET /health HTTP/1.1" 200 -
api-gateway-1         | 2024-12-10T10:09:07.512219920Z INFO:werkzeug:127.0.0.1 - - [10/Dec/2024 10:09:07] "GET /health HTTP/1.1" 200 -
api-gateway-1         | 2024-12-10T10:09:37.868249511Z INFO:werkzeug:127.0.0.1 - - [10/Dec/2024 10:09:37] "GET /health HTTP/1.1" 200 -
api-gateway-1         | 2024-12-10T10:10:07.969818333Z INFO:werkzeug:127.0.0.1 - - [10/Dec/2024 10:10:07] "GET /health HTTP/1.1" 200 -
api-gateway-1         | 2024-12-10T10:10:38.134180684Z INFO:werkzeug:127.0.0.1 - - [10/Dec/2024 10:10:38] "GET /health HTTP/1.1" 200 -
api-gateway-1         | 2024-12-10T10:11:08.297933044Z INFO:werkzeug:127.0.0.1 - - [10/Dec/2024 10:11:08] "GET /health HTTP/1.1" 200 -
api-gateway-1         | 2024-12-10T10:11:38.552345724Z INFO:werkzeug:127.0.0.1 - - [10/Dec/2024 10:11:38] "GET /health HTTP/1.1" 200 -
api-gateway-1         | 2024-12-10T10:12:08.707207172Z INFO:werkzeug:127.0.0.1 - - [10/Dec/2024 10:12:08] "GET /health HTTP/1.1" 200 -
api-gateway-1         | 2024-12-10T10:12:38.821005455Z INFO:werkzeug:127.0.0.1 - - [10/Dec/2024 10:12:38] "GET /health HTTP/1.1" 200 -
api-gateway-1         | 2024-12-10T10:13:09.011154781Z INFO:werkzeug:127.0.0.1 - - [10/Dec/2024 10:13:09] "GET /health HTTP/1.1" 200 -
api-gateway-1         | 2024-12-10T10:13:39.100515220Z INFO:werkzeug:127.0.0.1 - - [10/Dec/2024 10:13:39] "GET /health HTTP/1.1" 200 -
api-gateway-1         | 2024-12-10T10:14:09.237346702Z INFO:werkzeug:127.0.0.1 - - [10/Dec/2024 10:14:09] "GET /health HTTP/1.1" 200 -
api-gateway-1         | 2024-12-10T10:14:39.340734777Z INFO:werkzeug:127.0.0.1 - - [10/Dec/2024 10:14:39] "GET /health HTTP/1.1" 200 -
api-gateway-1         | 2024-12-10T10:15:09.439168247Z INFO:werkzeug:127.0.0.1 - - [10/Dec/2024 10:15:09] "GET /health HTTP/1.1" 200 -
api-gateway-1         | 2024-12-10T10:15:39.529315022Z INFO:werkzeug:127.0.0.1 - - [10/Dec/2024 10:15:39] "GET /health HTTP/1.1" 200 -
api-gateway-1         | 2024-12-10T10:16:09.633177961Z INFO:werkzeug:127.0.0.1 - - [10/Dec/2024 10:16:09] "GET /health HTTP/1.1" 200 -
api-gateway-1         | 2024-12-10T10:16:39.874085598Z INFO:werkzeug:127.0.0.1 - - [10/Dec/2024 10:16:39] "GET /health HTTP/1.1" 200 -
api-gateway-1         | 2024-12-10T10:17:09.987987503Z INFO:werkzeug:127.0.0.1 - - [10/Dec/2024 10:17:09] "GET /health HTTP/1.1" 200 -
api-gateway-1         | 2024-12-10T10:17:40.077136748Z INFO:werkzeug:127.0.0.1 - - [10/Dec/2024 10:17:40] "GET /health HTTP/1.1" 200 -
api-gateway-1         | 2024-12-10T10:18:10.296399732Z INFO:werkzeug:127.0.0.1 - - [10/Dec/2024 10:18:10] "GET /health HTTP/1.1" 200 -
api-gateway-1         | 2024-12-10T10:18:40.408403823Z INFO:werkzeug:127.0.0.1 - - [10/Dec/2024 10:18:40] "GET /health HTTP/1.1" 200 -
api-gateway-1         | 2024-12-10T10:19:10.523662852Z INFO:werkzeug:127.0.0.1 - - [10/Dec/2024 10:19:10] "GET /health HTTP/1.1" 200 -
api-gateway-1         | 2024-12-10T10:19:40.702768601Z INFO:werkzeug:127.0.0.1 - - [10/Dec/2024 10:19:40] "GET /health HTTP/1.1" 200 -
api-gateway-1         | 2024-12-10T10:20:10.816726728Z INFO:werkzeug:127.0.0.1 - - [10/Dec/2024 10:20:10] "GET /health HTTP/1.1" 200 -
api-gateway-1         | 2024-12-10T10:20:40.928270429Z INFO:werkzeug:127.0.0.1 - - [10/Dec/2024 10:20:40] "GET /health HTTP/1.1" 200 -
api-gateway-1         | 2024-12-10T10:21:11.013547354Z INFO:werkzeug:127.0.0.1 - - [10/Dec/2024 10:21:11] "GET /health HTTP/1.1" 200 -
api-gateway-1         | 2024-12-10T10:21:41.130115848Z INFO:werkzeug:127.0.0.1 - - [10/Dec/2024 10:21:41] "GET /health HTTP/1.1" 200 -
api-gateway-1         | 2024-12-10T10:22:11.246611734Z INFO:werkzeug:127.0.0.1 - - [10/Dec/2024 10:22:11] "GET /health HTTP/1.1" 200 -
api-gateway-1         | 2024-12-10T10:22:41.382199859Z INFO:werkzeug:127.0.0.1 - - [10/Dec/2024 10:22:41] "GET /health HTTP/1.1" 200 -
api-gateway-1         | 2024-12-10T10:23:11.503417638Z INFO:werkzeug:127.0.0.1 - - [10/Dec/2024 10:23:11] "GET /health HTTP/1.1" 200 -
